,Date,precip_and_snowmelt_input_White Yampa_mean,irrigation_White Yampa_mean,AET_White Yampa_mean,soil_thickness_White Yampa_mean,soil_porosity_White Yampa_mean,field_capacity_White Yampa_mean,wilting_point_White Yampa_mean,Geo_K_White Yampa_mean,Runoff_White Yampa_mean,Recharge_White Yampa_mean,Soil_Water_End_Of_Previous_Timestep_White Yampa_mean,Soil_Saturation_Percent_End_Of_Timestep_White Yampa_mean,precip_and_snowmelt_input_m3_White Yampa_sum,irrigation_m3_White Yampa_sum,AET_m3_White Yampa_sum,Runoff_m3_White Yampa_sum,Recharge_m3_White Yampa_sum,Soil_Water_End_Of_Previous_Timestep_m3_White Yampa_sum,White Yampa_area_m2
76,2011-05-01,42.17309707673426,0,51.518387423002665,371.01641099050755,0.47767195999399753,79.47029430852052,41.69607735925673,8849.840936316818,0.08325272675329767,1.179620773119706,28.076931690828445,13.206101355173288,157237659.08940563,0,189151459.72242352,310373.15141735977,4398491.226465022,103090108.02546315,3726250605.1066284
77,2011-06-01,31.953534786008017,0,66.96814378964788,371.01641099050755,0.47767195999399753,79.47029430852052,41.69607735925673,8849.840936316818,0.011179399607441775,0.13604879550443938,22.846515816381757,10.156814008743167,119135195.42367539,0,245878625.23060402,41677.739846259865,507257.79170344386,83885500.99761975,3726250605.1066284
78,2011-07-01,58.77237184372926,0,66.82711225521741,371.01641099050755,0.47767195999399753,79.47029430852052,41.69607735925673,8849.840936316818,0.2797683169642392,1.1956221653687265,30.396950898647674,14.74853819021185,219125643.16228864,0,245361421.23310584,1043030.3495311625,4457783.139922782,111607019.45783623,3726250605.1066284
79,2011-08-01,18.732602861414446,0,55.31111519720511,371.01641099050755,0.47767195999399753,79.47029430852052,41.69607735925673,8849.840936316818,0.0,0.19718025599149172,25.242143397867167,11.454004895949152,69841236.3507051,0,203076110.93784314,0.0,735179.8670288096,92680760.25527307,3726250605.1066284
80,2011-09-01,21.184474772573203,0,30.722143054150962,371.01641099050755,0.47767195999399753,79.47029430852052,41.69607735925673,8849.840936316818,0.12469559013631018,0.9516028328415684,28.347331623143198,13.270450362826415,78983124.5168032,0,112796666.46076864,464904.0299224516,3547988.219563737,104082039.07104251,3726250605.1066284
81,2011-10-01,38.92672387138549,0,42.568079433667364,371.01641099050755,0.47767195999399753,79.47029430852052,41.69607735925673,8849.840936316818,0.04965461938586676,0.38447750253190793,27.763287116577587,13.156785849069326,145133454.21289945,0,156292711.158157,185153.90804711977,1433609.5554647865,101937521.33465043,3726250605.1066284
82,2011-11-01,17.50950449320082,0,34.42325549324262,371.01641099050755,0.47767195999399753,79.47029430852052,41.69607735925673,8849.840936316818,0.0,0.028600206652655134,21.264881601152563,9.5067558990808,65280186.97207409,0,126388132.35295686,0.0,106642.47451934352,78076924.46273202,3726250605.1066284
83,2011-12-01,12.930460424407837,0,2.766594649259906,371.01641099050755,0.47767195999399753,79.47029430852052,41.69607735925673,8849.840936316818,0.0,0.08279218046399255,31.363798304521268,15.781826963905466,48209654.05673372,0,10157975.703631373,0.0,308671.4091679285,115155956.9885456,3726250605.1066284
84,2012-01-01,7.692829886689507,0,3.381562011584079,371.01641099050755,0.47767195999399753,79.47029430852052,41.69607735925673,8849.840936316818,0.0,0.29244287542181063,35.456353132942056,18.05705471028606,28680482.538829945,0,12416154.903301962,0.0,1090331.5821804472,130180498.86471128,3726250605.10621
85,2012-02-01,27.767383824933283,0,17.285533694952655,371.01641099050755,0.47767195999399753,79.47029430852052,41.69607735925673,8849.840936316818,0.0,1.2998457278129634,44.76950059457545,23.89786687479052,103527749.8676961,0,63465719.2177098,0.0,4846028.335253095,164375150.5714821,3726250605.10621
86,2012-03-01,3.684556954822971,0,40.444309092580674,371.01641099050755,0.47767195999399753,79.47029430852052,41.69607735925673,8849.840936316818,0.0,0.028034603179097985,19.608516515745194,8.826798611578678,13737466.639368556,0,148494732.648502,0.0,104533.85730779273,71994225.41861904,3726250605.10621
87,2012-04-01,19.660975118644142,0,55.42006067849593,371.01641099050755,0.47767195999399753,79.47029430852052,41.69607735925673,8849.840936316818,0.0,0.02302464483663842,8.956026324344563,3.704881829548537,73302477.01667,0,203480786.1759529,0.0,85852.1151076555,32882780.376627088,3726250605.10621
88,2012-05-01,0.7167489737424448,0,37.183345591615364,371.01641099050755,0.47767195999399753,79.47029430852052,41.69607735925673,8849.840936316818,0.0,0.02083012471694171,7.243359555030259,2.8141187975481943,2672141.7959463545,0,136519128.20163924,0.0,77668.86645468375,26594468.43692639,3726250605.10621
89,2012-06-01,0.7356061272049313,0,37.860209616622235,371.01641099050755,0.47767195999399753,79.47029430852052,41.69607735925673,8849.840936316818,0.0,0.02083012471694171,6.43353240832828,2.4131945832135746,2742630.130242003,0,139006245.06516862,0.0,77668.86645468375,23620858.01760971,3726250605.10621
90,2012-07-01,31.839883025554798,0,47.04691091293556,371.01641099050755,0.47767195999399753,79.47029430852052,41.69607735925673,8849.840936316818,0.0,0.06067224435799966,10.13071985361852,4.905116891605938,118709416.12987104,0,172733826.05441564,0.0,226186.53996883088,37195299.672368616,3726250605.10621
91,2012-08-01,17.98136029132348,0,55.657764089362885,371.01641099050755,0.47767195999399753,79.47029430852052,41.69607735925673,8849.840936316818,0.0,0.0365880266376732,5.949127854884033,2.7966260069728164,67040690.76169532,0,204349676.09102744,0.0,136408.8871618001,21842396.34863825,3726250605.10621
92,2012-09-01,23.813245590166513,0,41.64801875517146,371.01641099050755,0.47767195999399753,79.47029430852052,41.69607735925673,8849.840936316818,0.0,0.019671625987485068,5.913974548182873,2.7051404151851806,88784834.41625267,0,152913127.14719987,0.0,73349.01525293285,21713697.005512137,3726250605.10621
93,2012-10-01,19.240810334920546,0,35.66983083570839,371.01641099050755,0.47767195999399753,79.47029430852052,41.69607735925673,8849.840936316818,0.0,0.005731977398324841,4.70911697355971,2.0533727198630602,71736661.73986872,0,130965607.22368634,0.0,21370.358583959125,17289873.583562344,3726250605.10621
94,2012-11-01,11.413730764812042,0,10.840443136894365,371.01641099050755,0.47767195999399753,79.47029430852052,41.69607735925673,8849.840936316818,0.0,0.01579406724932402,7.526873992345891,3.9627901415154687,42553255.72237715,0,39802395.7457961,0.0,58878.357375788175,27634361.407445434,3726250605.10621
95,2012-12-01,61.288661480881295,0,6.772708467408295,371.01641099050755,0.47767195999399753,79.47029430852052,41.69607735925673,8849.840936316818,0.11118931953246265,1.9311477089446025,59.91854225643218,35.60719272285351,228507158.21256456,0,24866693.646470584,414480.70550499466,7199329.684193673,219996184.54447478,3726250605.10621
96,2013-01-01,32.139396235178864,0,1.8816079801415826,371.01641099050755,0.47767195999399753,79.47029430852052,41.69607735925673,8849.840936316818,0.2342466198225,13.586471650995295,76.19712661352114,44.01921100159001,119827653.10012357,0,6908384.245952942,873306.9137109242,50655668.32169756,279764581.3528471,3726250605.1066284
97,2013-02-01,20.847345544056175,0,10.85423370414636,371.01641099050755,0.47767195999399753,79.47029430852052,41.69607735925673,8849.840936316818,0.1571696902710373,8.326982646522836,77.5687397986351,44.64685018293082,77725993.72339764,0,39853214.490070604,585931.0403915897,31044706.822217245,284800576.637359,3726250605.1066284
98,2013-03-01,20.403519726566717,0,33.58134136250805,371.01641099050755,0.47767195999399753,79.47029430852052,41.69607735925673,8849.840936316818,0.019698663226353656,2.7017640064597903,61.448871095050905,35.17106120110089,76070808.80380954,0,123299133.0376315,73438.2695042534,10072767.699599221,225612367.85471854,3726250605.1066284
99,2013-04-01,38.74638024137979,0,40.28243081732095,371.01641099050755,0.47767195999399753,79.47029430852052,41.69607735925673,8849.840936316818,0.14816001283786595,2.8723651944443587,57.49426784393173,32.68731683434274,144459914.35194257,0,147900495.01877645,552349.8111304806,10708653.873863623,211093138.06051078,3726250605.1066284
100,2013-05-01,19.20588832807475,0,37.67817412889584,371.01641099050755,0.47767195999399753,79.47029430852052,41.69607735925673,8849.840936316818,0.12372361476846452,1.390652925947417,42.84354318816187,23.060801336959564,71606663.28996809,0,138335094.96762356,461249.72449271893,5184687.429534135,157305192.38785002,3726250605.1066284
101,2013-06-01,0.17110060101998284,0,28.755194446998267,371.01641099050755,0.47767195999399753,79.47029430852052,41.69607735925673,8849.840936316818,0.0,0.0722063442938808,31.947492494196673,16.09356920868724,637896.5754801024,0,105573854.42916867,0.0,269193.8469092051,117299732.45841864,3726250605.1066284
102,2013-07-01,25.880616262440103,0,71.91829088903192,371.01641099050755,0.47767195999399753,79.47029430852052,41.69607735925673,8849.840936316818,0.0,0.15185650646607463,15.359611794459795,7.028037786634346,96490970.55015947,0,264052958.2995922,0.0,566159.2248831225,56394100.16092484,3726250605.1066284
103,2013-08-01,32.17477416067055,0,46.464650179277385,371.01641099050755,0.47767195999399753,79.47029430852052,41.69607735925673,8849.840936316818,0.0,0.4920699440042034,15.484793124733047,7.0707036195844735,119960393.73013031,0,170601323.85104296,0.0,1834568.7684936535,56853143.47653164,3726250605.1066284
104,2013-09-01,68.23469135691631,0,38.55431185069414,371.01641099050755,0.47767195999399753,79.47029430852052,41.69607735925673,8849.840936316818,0.17936061719580418,2.6423014765695494,42.30781921760723,23.60027277296942,254404456.12434214,0,141554191.7297569,668687.398757818,9851406.364388647,155338346.14132077,3726250605.1066284
105,2013-10-01,55.790878164082464,0,31.10965799393215,371.01641099050755,0.47767195999399753,79.47029430852052,41.69607735925673,8849.840936316818,0.25796028326103376,5.615854551021529,61.120710582441276,34.852626332276536,208007946.4320504,0,114222436.0802588,961764.1009991202,20937761.80112945,224410505.95146126,3726250605.1066284
106,2013-11-01,24.469952455389784,0,13.855819619380348,371.01641099050755,0.47767195999399753,79.47029430852052,41.69607735925673,8849.840936316818,0.030201952857480053,4.072751632258378,67.47263242191289,38.57404239099515,91232771.06657957,0,50873605.953286305,112595.41462362153,15184358.16308928,247731771.02744883,3726250605.1066284
107,2013-12-01,34.34765951057992,0,5.978647605038156,371.01641099050755,0.47767195999399753,79.47029430852052,41.69607735925673,8849.840936316818,0.3221667506875244,16.51234940847624,78.72197963250791,44.86543396095162,128061663.69321938,0,21951398.13556864,1201121.6839674662,61564548.90231686,289035263.1571844,3726250605.1066284
108,2014-01-01,24.473689087899473,0,7.087225337868899,371.01641099050755,0.47767195999399753,79.47029430852052,41.69607735925673,8849.840936316818,0.16972544481642873,14.828467508212192,80.85525081593295,45.8209436305494,91245955.09781136,0,26021556.155521564,632769.1276748476,55284848.68783496,296867989.7581464,3726250605.1066284
109,2014-02-01,30.88623683844261,0,28.624827617909354,371.01641099050755,0.47767195999399753,79.47029430852052,41.69607735925673,8849.840936316818,0.03533933438667414,5.83316101440262,77.01238861668573,43.446078053146046,115154192.75195397,0,105099355.95796871,131748.00406341598,21747059.108702373,282758054.62992674,3726250605.1066284
110,2014-03-01,12.016775457297273,0,47.90969476877815,371.01641099050755,0.47767195999399753,79.47029430852052,41.69607735925673,8849.840936316818,0.0,1.3147532458289188,41.87147982091309,21.557992295397465,44801957.48255412,0,175904668.69868255,0.0,4901673.951757742,153733866.26605192,3726250605.1066284
111,2014-04-01,23.943856411361754,0,34.431254022248794,371.01641099050755,0.47767195999399753,79.47029430852052,41.69607735925673,8849.840936316818,0.0,0.7509185563492722,36.23890687679309,18.14043365530534,89271386.49344806,0,126417531.88103537,0.0,2799625.3804867687,133053342.78747621,3726250605.1066284
112,2014-05-01,31.55989540485182,0,69.54707180288683,371.01641099050755,0.47767195999399753,79.47029430852052,41.69607735925673,8849.840936316818,0.0,0.25328917082393626,20.411671951101532,10.233914141723043,117666833.76058243,0,255349340.1517489,0.0,944301.8273863101,74942554.90837744,3726250605.1066284
113,2014-06-01,2.2376655517738384,0,45.24455272593547,371.01641099050755,0.47767195999399753,79.47029430852052,41.69607735925673,8849.840936316818,0.0,0.02455311346019739,9.275881440654405,4.294285411415934,8342607.36061635,0,166118175.2744078,0.0,91550.37439641521,34057504.78661798,3726250605.1066284
114,2014-07-01,30.55208054540313,0,53.64169807851431,371.01641099050755,0.47767195999399753,79.47029430852052,41.69607735925673,8849.840936316818,0.0,0.19644379414304536,9.2533122057736,4.940079742383162,113908020.18038553,0,196948938.4893098,0.0,732340.4402743632,33974100.415557414,3726250605.1066284
115,2014-08-01,76.02859401604782,0,44.705847200514874,371.01641099050755,0.47767195999399753,79.47029430852052,41.69607735925673,8849.840936316818,0.08326197364601672,3.217677900676502,40.46701399886978,25.277135342925227,283464628.25668514,0,164141002.09450188,310371.90615128324,11996024.82912748,148581086.18361598,3726250605.1066284
116,2014-09-01,54.43671177783707,0,33.62181667739267,371.01641099050755,0.47767195999399753,79.47029430852052,41.69607735925673,8849.840936316818,0.06663205792614721,8.017086791795382,53.82318471081541,32.3946395863489,202960547.03251103,0,123445700.76592943,248381.31669223667,29890855.489420805,197620003.43954468,3726250605.1066284
117,2014-10-01,8.671212872964055,0,28.503286751861733,371.01641099050755,0.47767195999399753,79.47029430852052,41.69607735925673,8849.840936316818,0.0,0.3354173590811239,38.78476207169949,21.91967066642794,32329182.605328187,0,104652816.12576464,0.0,1250354.6823472201,142404632.45706818,3726250605.1066284
118,2014-11-01,14.814061574146033,0,20.48591063712421,371.01641099050755,0.47767195999399753,79.47029430852052,41.69607735925673,8849.840936316818,0.0,0.08859525917190932,34.348417083260536,19.117765160190483,55231766.61131123,0,75216576.4063451,0.0,330282.1403890552,126115183.4326777,3726250605.1066284
119,2014-12-01,28.047565971033052,0,8.95007814654776,371.01641099050755,0.47767195999399753,79.47029430852052,41.69607735925673,8849.840936316818,0.0,0.7339506644944372,52.530850506087354,30.551053199022512,104571310.95868814,0,32860783.329694107,0.0,2736149.7126163733,192873904.53946593,3726250605.1066284
