,Date,"precip_and_snowmelt_input_Pilot-Thousand Springs, Nevada, Utah_mean","irrigation_Pilot-Thousand Springs, Nevada, Utah_mean","AET_Pilot-Thousand Springs, Nevada, Utah_mean","soil_thickness_Pilot-Thousand Springs, Nevada, Utah_mean","soil_porosity_Pilot-Thousand Springs, Nevada, Utah_mean","field_capacity_Pilot-Thousand Springs, Nevada, Utah_mean","wilting_point_Pilot-Thousand Springs, Nevada, Utah_mean","Geo_K_Pilot-Thousand Springs, Nevada, Utah_mean","Runoff_Pilot-Thousand Springs, Nevada, Utah_mean","Recharge_Pilot-Thousand Springs, Nevada, Utah_mean","Soil_Water_End_Of_Previous_Timestep_Pilot-Thousand Springs, Nevada, Utah_mean","Soil_Saturation_Percent_End_Of_Timestep_Pilot-Thousand Springs, Nevada, Utah_mean","precip_and_snowmelt_input_m3_Pilot-Thousand Springs, Nevada, Utah_sum","irrigation_m3_Pilot-Thousand Springs, Nevada, Utah_sum","AET_m3_Pilot-Thousand Springs, Nevada, Utah_sum","Runoff_m3_Pilot-Thousand Springs, Nevada, Utah_sum","Recharge_m3_Pilot-Thousand Springs, Nevada, Utah_sum","Soil_Water_End_Of_Previous_Timestep_m3_Pilot-Thousand Springs, Nevada, Utah_sum","Pilot-Thousand Springs, Nevada, Utah_area_m2"
125,2024-07-01,15.73130002123057,0,31.17836841296667,513.4541259698109,0.4893978590340014,120.45382074657186,46.313052428786115,4086.979308347153,0.3718579252452117,0.698021284174803,151.30015649662377,55.829438608450886,8631747.608162869,0,17107489.820250973,204058.63888004067,383022.0952582507,83017099.14538218,443313336.6475908
126,2024-07-01,15.73130002123057,0,31.17836841296667,513.4541259698109,0.4893978590340014,120.45382074657186,46.313052428786115,4086.979308347153,0.3718579252452117,0.698021284174803,151.30015649662377,55.829438608450886,8631747.608162869,0,17107489.820250973,204058.63888004067,383022.0952582507,83017099.14538218,443313336.6475908
127,2024-07-01,15.73130002123057,0,31.17836841296667,513.4541259698109,0.4893978590340014,120.45382074657186,46.313052428786115,4086.979308347153,0.3718579252452117,0.698021284174803,151.30015649662377,55.829438608450886,8631747.608162869,0,17107489.820250973,204058.63888004067,383022.0952582507,83017099.14538218,443313336.6475908
128,2024-07-01,15.73130002123057,0,31.17836841296667,513.4541259698109,0.4893978590340014,120.45382074657186,46.313052428786115,4086.979308347153,0.3718579252452117,0.698021284174803,151.30015649662377,55.829438608450886,8631747.608162869,0,17107489.820250973,204058.63888004067,383022.0952582507,83017099.14538218,443313336.6475908
129,2024-07-01,15.73130002123057,0,31.17836841296667,513.4541259698109,0.4893978590340014,120.45382074657186,46.313052428786115,4086.979308347153,0.3718579252452117,0.698021284174803,151.30015649662377,55.829438608450886,8631747.608162869,0,17107489.820250973,204058.63888004067,383022.0952582507,83017099.14538218,443313336.6475908
130,2024-07-01,15.73130002123057,0,31.17836841296667,513.4541259698109,0.4893978590340014,120.45382074657186,46.313052428786115,4086.979308347153,0.3718579252452117,0.698021284174803,151.30015649662377,55.829438608450886,8631747.608162869,0,17107489.820250973,204058.63888004067,383022.0952582507,83017099.14538218,443313336.6475908
131,2024-07-01,15.73130002123057,0,31.17836841296667,513.4541259698109,0.4893978590340014,120.45382074657186,46.313052428786115,4086.979308347153,0.3718579252452117,0.698021284174803,151.30015649662377,55.829438608450886,8631747.608162869,0,17107489.820250973,204058.63888004067,383022.0952582507,83017099.14538218,443313336.6475908
132,2024-07-01,15.73130002123057,0,31.17836841296667,513.4541259698109,0.4893978590340014,120.45382074657186,46.313052428786115,4086.979308347153,0.3718579252452117,0.698021284174803,151.30015649662377,55.829438608450886,8631747.608162869,0,17107489.820250973,204058.63888004067,383022.0952582507,83017099.14538218,443313336.6475908
133,2024-07-01,15.73130002123057,0,31.17836841296667,513.4541259698109,0.4893978590340014,120.45382074657186,46.313052428786115,4086.979308347153,0.3718579252452117,0.698021284174803,151.30015649662377,55.829438608450886,8631747.608162869,0,17107489.820250973,204058.63888004067,383022.0952582507,83017099.14538218,443313336.6475908
134,2024-07-01,15.73130002123057,0,31.17836841296667,513.4541259698109,0.4893978590340014,120.45382074657186,46.313052428786115,4086.979308347153,0.3718579252452117,0.698021284174803,151.30015649662377,55.829438608450886,8631747.608162869,0,17107489.820250973,204058.63888004067,383022.0952582507,83017099.14538218,443313336.6475908
135,2024-07-01,15.73130002123057,0,31.17836841296667,513.4541259698109,0.4893978590340014,120.45382074657186,46.313052428786115,4086.979308347153,0.3718579252452117,0.698021284174803,151.30015649662377,55.829438608450886,8631747.608162869,0,17107489.820250973,204058.63888004067,383022.0952582507,83017099.14538218,443313336.6475908
136,2024-07-01,15.73130002123057,0,31.17836841296667,513.4541259698109,0.4893978590340014,120.45382074657186,46.313052428786115,4086.979308347153,0.3718579252452117,0.698021284174803,151.30015649662377,55.829438608450886,8631747.608162869,0,17107489.820250973,204058.63888004067,383022.0952582507,83017099.14538218,443313336.6475908
137,2024-07-01,15.73130002123057,0,31.17836841296667,513.4541259698109,0.4893978590340014,120.45382074657186,46.313052428786115,4086.979308347153,0.3718579252452117,0.698021284174803,151.30015649662377,55.829438608450886,8631747.608162869,0,17107489.820250973,204058.63888004067,383022.0952582507,83017099.14538218,443313336.6475908
138,2024-07-01,15.73130002123057,0,31.17836841296667,513.4541259698109,0.4893978590340014,120.45382074657186,46.313052428786115,4086.979308347153,0.3718579252452117,0.698021284174803,151.30015649662377,55.829438608450886,8631747.608162869,0,17107489.820250973,204058.63888004067,383022.0952582507,83017099.14538218,443313336.6475908
139,2024-07-01,15.73130002123057,0,31.17836841296667,513.4541259698109,0.4893978590340014,120.45382074657186,46.313052428786115,4086.979308347153,0.3718579252452117,0.698021284174803,151.30015649662377,55.829438608450886,8631747.608162869,0,17107489.820250973,204058.63888004067,383022.0952582507,83017099.14538218,443313336.6475908
